run_idx,party,warmup,offline_ns,offline_ms,online_ns,online_ms,online_rounds,comm_bytes,wall_ns,offline_b1a_alpha_prg_draw_ns,offline_b2a_idpf_gen_mem_ns,offline_b2b_idpf_write_disk_ns,offline_b1b_alpha_shares_ns,offline_b3_q_bool_ns,offline_b4_q_arith_ns,offline_b5_beavers_ns,offline_m1m2_zc_dpf_ns,online_o1_init_mask_prep_ns,online_o2_mask_exchange_ns,online_o3_round_0_ns,online_o4a_middle_idpf_ns,online_o4b_middle_algebra_net_ns,online_o5_last_round_ns,online_o6_vidpf_verify_ns
73,server,False,606756600,606.757,698413000,698.413,33,195074,7105157700,6421000,335593000,233197000,10626000,302900,466000,689200,1061000,3711000,2312000,33866000,655598000,2591000,19000,197700
73,client,False,587223200,587.223,698487200,698.487,33,195074,7105157700,6906000,331322000,216363000,11070000,254000,314800,433500,907300,3681000,2427000,33879000,654574000,3589000,27200,173200
74,server,False,622056000,622.056,1170390400,1170.390,33,195074,8019198300,5936000,332411000,246956000,14028000,293400,232900,430500,1177000,6169000,3722000,48792000,1105000000,5928000,59000,235500
74,client,False,893302000,893.302,1171831500,1171.832,33,195074,8019198300,8561000,506612000,330578000,17157000,351000,306800,3146000,2186000,6338000,4957000,48802000,1105000000,6366000,49000,266800
75,server,False,927038100,927.038,1235895000,1235.895,33,195074,8642676400,8050000,480916000,389924000,18834000,719200,514200,818200,2154000,6617000,5463000,53792000,1161000000,8355000,58900,237800
75,client,False,1103524600,1103.525,1234625700,1234.626,33,195074,8642676400,12257000,665805000,372867000,20145000,806900,795400,1348000,1852000,6792000,4015000,53815000,1165000000,3885000,597600,235200
76,server,False,1044776500,1044.776,1358839900,1358.840,33,195074,8980862500,10733000,591861000,388514000,20975000,429800,344500,678700,2029000,7088000,5670000,57766000,1286000000,2293000,41100,239200
76,client,False,1168459200,1168.459,1357955500,1357.956,33,195074,8980862500,12162000,670464000,422739000,22475000,794800,596300,1284000,1655000,7355000,4576000,57742000,1257000000,30608000,179100,212600
77,server,False,652330500,652.331,1090111000,1090.111,33,195074,7946467800,6300000,353959000,251206000,13351000,275700,202200,3739000,1775000,5571000,3320000,45363000,1029000000,6164000,28600,326900
77,client,False,880759300,880.759,1095571800,1095.572,33,195074,7946467800,8425000,496760000,329430000,16412000,394100,283000,499100,1795000,5919000,8508000,45370000,1021000000,14412000,321900,204900
78,server,False,633126900,633.127,1052775200,1052.775,33,195074,7763550800,5832000,338495000,249208000,13072000,387600,2364000,1066000,1505000,5142000,6387000,43526000,992569000,4520000,59200,414300
78,client,False,783629800,783.630,1049510900,1049.511,33,195074,7763550800,8126000,446228000,284288000,14787000,303200,233300,446300,2625000,5238000,2996000,43738000,938074000,56249000,2817000,236700
79,server,False,569069500,569.069,657705200,657.705,33,195074,7008442400,11134000,315139000,209546000,10377000,249000,477900,788500,1343000,3349000,2081000,28232000,614406000,9028000,344100,150000
79,client,False,568558600,568.559,659696500,659.697,33,195074,7008442400,6087000,317372000,211054000,9995000,210700,832500,1182000,833700,3180000,4573000,27745000,616438000,7400000,18200,240100
80,server,False,566861200,566.861,667330700,667.331,33,195074,7018376300,10455000,312025000,209646000,10364000,674300,643000,644300,1057000,3249000,4150000,27958000,612177000,19292000,226500,173200
80,client,False,576611200,576.611,665685200,665.685,33,195074,7018376300,6423000,315282000,219726000,10055000,215900,160400,4304000,1213000,3410000,2058000,28353000,612621000,18811000,27500,307600
81,server,False,563305900,563.306,668843600,668.844,33,195074,7025925300,10253000,318741000,203847000,10403000,240700,160200,419100,1006000,3229000,2289000,27903000,608377000,26577000,47600,323100
81,client,False,587759900,587.760,668806400,668.806,33,195074,7025925300,6249000,323009000,223891000,9930000,189600,149200,305700,819700,3211000,2039000,28029000,617615000,15709000,1964000,136000
82,server,False,575432200,575.432,662714300,662.714,33,195074,7014320700,10126000,313579000,217474000,10036000,433500,425900,688400,966900,3670000,2225000,27726000,611800000,16801000,26900,374100
82,client,False,572449200,572.449,662506500,662.506,33,195074,7014320700,6030000,321419000,210051000,11242000,383100,397800,679800,830600,3642000,2148000,27553000,611462000,12788000,4670000,140000
83,server,False,582032100,582.032,656679400,656.679,33,195074,7058943600,11049000,322520000,215559000,9931000,200300,156800,518900,1255000,3468000,3562000,29964000,609154000,10047000,24800,347800
83,client,False,596256800,596.257,656034800,656.035,33,195074,7058943600,6210000,333102000,224566000,9984000,194600,153400,317100,839600,3613000,2855000,29786000,603570000,14124000,1858000,133100
84,server,False,578119600,578.120,659469100,659.469,33,195074,7031876300,9608000,322017000,211139000,10242000,249500,174600,4395000,1275000,3482000,2035000,27693000,605931000,19801000,15400,429600
84,client,False,576423900,576.424,659919900,659.920,33,195074,7031876300,5905000,314163000,221111000,11250000,537400,417300,642600,1088000,3453000,2740000,27555000,615406000,10335000,170400,150100
85,server,False,584520100,584.520,672831700,672.832,33,195074,7057000100,9791000,319081000,218241000,11264000,223900,201800,322100,1852000,3348000,2033000,29710000,608877000,28170000,452800,140900
85,client,False,582508700,582.509,673006500,673.006,33,195074,7057000100,6185000,329818000,213957000,10327000,195000,156200,338400,839100,3364000,2683000,28972000,619234000,18325000,20000,315700
86,server,False,590490200,590.490,671721500,671.721,33,195074,7042929800,9492000,323470000,219315000,11257000,230700,177500,311200,1908000,3547000,3558000,29124000,616510000,18543000,18100,318700
